Hour,Day_of_Week,Weather,Temperature,Road_Capacity,Accidents,Vehicles,Traffic_Level
18,4,2,16,1219,2,926,Medium
12,6,2,35,1687,4,567,Medium
12,1,3,18,980,3,250,Low
3,2,0,26,583,2,1366,High
0,3,2,21,1600,1,1187,High
16,2,3,29,1172,1,1390,High
7,4,2,21,1016,3,459,Low
1,0,0,36,984,0,1415,High
7,2,3,35,1281,0,1425,High
6,3,0,31,603,1,1408,High
1,1,3,30,1975,3,357,Low
21,5,2,33,838,0,298,Low
21,0,1,23,1186,4,440,Low
2,1,2,28,1399,1,401,Low
17,2,2,31,1106,4,833,Medium
11,4,1,19,722,3,1319,High
0,6,1,16,1532,4,945,Medium
21,4,3,34,1576,0,689,Medium
11,3,3,30,1600,0,778,Medium
4,4,0,28,1002,2,1441,High
16,0,0,28,1839,1,726,Medium
15,4,2,15,1321,3,472,Low
14,3,1,17,1123,1,1442,High
22,5,0,21,664,4,985,Medium
14,2,2,29,1802,3,652,Medium
4,6,1,33,1550,3,1375,High
20,2,3,34,1593,0,546,Medium
13,4,2,16,1741,4,1015,High
1,1,3,33,1888,0,613,Medium
10,2,0,23,1829,0,630,Medium
18,5,0,33,1647,2,578,Medium
6,4,1,19,518,0,1197,High
5,6,2,32,1780,1,1094,High
1,3,3,30,1819,3,627,Medium
5,5,1,18,1545,0,1307,High
17,4,0,26,1488,1,391,Low
1,5,0,21,949,4,240,Low
17,2,2,28,1051,3,335,Low
14,6,3,37,1571,4,305,Low
18,3,2,26,1194,1,718,Medium
1,4,3,17,1086,4,1013,High
19,0,3,19,1220,4,325,Low
5,3,2,31,1706,4,599,Medium
0,0,1,24,1958,0,278,Low
23,5,2,24,606,0,588,Medium
14,1,2,25,1711,0,273,Low
22,3,0,31,1275,3,1228,High
9,5,0,19,1609,1,281,Low
18,0,2,27,1979,0,975,Medium
16,2,2,24,1660,4,1190,High
4,2,0,23,1397,4,477,Low
3,1,3,31,835,4,1039,High
9,3,2,15,1106,4,423,Low
23,3,1,18,1337,2,1291,High
16,3,1,18,1992,3,805,Medium
9,5,1,32,1101,1,218,Low
16,6,2,23,902,1,839,Medium
19,6,3,39,1039,0,296,Low
23,1,3,32,1595,2,1275,High
4,3,0,28,523,1,374,Low
1,5,2,39,1123,3,1338,High
5,2,3,29,1579,4,547,Medium
20,0,2,20,1485,0,200,Low
1,5,0,38,722,3,262,Low
12,6,0,24,678,1,425,Low
10,6,0,29,1299,2,622,Medium
10,2,1,18,933,0,1242,High
15,2,2,32,1973,1,230,Low
10,0,0,32,1292,0,1044,High
18,2,2,39,1383,1,832,Medium
14,1,1,31,991,4,223,Low
22,0,1,26,1712,2,1036,High
22,2,0,21,1309,4,1182,High
15,4,0,30,1460,1,1434,High
10,5,3,25,919,3,360,Low
21,2,2,28,1772,4,1478,High
15,1,0,17,1148,3,313,Low
7,3,3,33,1687,1,703,Medium
3,2,2,32,1778,2,1154,High
7,6,0,24,975,3,1443,High
3,6,3,20,1940,1,556,Medium
23,6,3,27,669,3,368,Low
2,3,2,24,1840,4,1168,High
2,6,3,32,673,1,441,Low
17,4,2,34,969,4,338,Low
18,2,2,30,844,0,296,Low
18,6,2,39,944,1,346,Low
20,0,1,39,1541,3,1405,High
4,3,3,20,1593,0,1280,High
17,4,2,27,1861,4,1265,High
9,0,0,18,1127,4,1065,High
21,0,1,37,1091,3,742,Medium
20,0,1,28,1026,0,891,Medium
5,0,3,15,955,2,1225,High
0,2,2,34,1792,3,1361,High
4,6,3,19,1310,4,1103,High
8,5,1,22,687,1,929,Medium
11,2,2,26,1520,0,1445,High
13,2,0,16,1210,2,530,Medium
1,4,2,26,1028,1,816,Medium
16,4,1,19,933,0,603,Medium
13,6,0,36,787,3,707,Medium
12,5,2,19,998,3,1350,High
8,4,0,27,1964,0,1488,High
14,6,0,23,802,2,1238,High
21,6,1,24,586,0,425,Low
14,1,0,15,1329,1,1183,High
23,5,3,17,937,1,1064,High
10,4,1,32,1040,3,1328,High
15,5,3,26,1545,0,944,Medium
16,2,0,17,1332,3,692,Medium
3,2,3,39,1296,2,518,Medium
0,5,2,23,1059,1,1442,High
7,1,0,16,1261,4,972,Medium
16,1,2,17,966,4,651,Medium
2,5,3,28,1624,0,1143,High
19,4,2,18,1174,0,1047,High
14,3,0,39,1184,4,1216,High
14,1,2,33,1664,0,1413,High
23,0,3,27,637,1,1083,High
21,2,3,21,1077,2,618,Medium
13,5,3,26,1209,2,1064,High
22,0,0,17,727,3,988,Medium
13,5,3,37,780,1,694,Medium
23,6,0,37,1183,0,1262,High
1,2,2,23,1327,0,361,Low
12,2,3,16,930,3,320,Low
13,1,2,36,1563,3,598,Medium
23,1,1,23,1734,0,1485,High
18,0,2,26,801,0,927,Medium
6,6,1,26,1609,1,760,Medium
2,5,2,29,1920,3,803,Medium
14,6,0,16,1776,1,1352,High
22,2,2,32,1032,0,739,Medium
13,0,0,27,1268,4,555,Medium
10,3,0,28,1904,4,859,Medium
14,0,3,19,943,0,631,Medium
12,4,0,24,1556,3,1288,High
17,0,1,26,759,4,1441,High
5,6,3,24,1757,3,762,Medium
2,4,3,38,1831,4,1016,High
18,4,2,25,1238,3,1297,High
14,4,0,39,1295,4,910,Medium
22,3,0,16,569,3,1415,High
4,0,1,19,1977,1,1412,High
9,6,2,21,1962,3,211,Low
6,0,2,20,1887,1,438,Low
16,3,3,36,1482,1,652,Medium
6,2,3,37,980,0,582,Medium
21,1,3,17,1667,1,981,Medium
11,6,1,27,523,2,247,Low
16,6,1,17,1464,1,516,Medium
12,0,3,39,1948,3,408,Low
19,1,2,38,1245,1,1342,High
3,5,1,35,1344,3,776,Medium
9,5,2,20,1698,3,514,Medium
2,3,2,25,824,2,953,Medium
8,5,0,31,1871,1,1259,High
12,6,3,24,1297,1,1114,High
17,5,0,26,517,4,954,Medium
14,2,3,31,543,4,753,Medium
3,2,3,18,654,0,602,Medium
14,2,2,16,1366,3,1330,High
21,5,3,25,1421,2,238,Low
1,3,2,21,1900,4,780,Medium
14,4,2,16,1242,1,379,Low
7,4,3,32,1925,0,211,Low
7,1,2,35,724,2,1142,High
16,4,2,18,716,1,747,Medium
11,4,2,22,530,1,1349,High
18,2,1,34,1582,3,262,Low
9,2,2,28,1397,3,1043,High
8,5,1,26,1876,4,1305,High
4,1,1,36,1434,4,1208,High
5,0,2,35,944,1,233,Low
19,6,2,32,1758,1,951,Medium
1,1,1,25,1630,4,248,Low
23,1,1,22,1714,4,857,Medium
12,3,2,16,1029,1,900,Medium
5,5,2,39,1237,2,1280,High
4,3,3,29,1373,1,308,Low
0,1,1,23,1065,2,1184,High
20,1,1,33,1768,2,223,Low
21,1,3,34,575,1,420,Low
20,4,1,22,1046,0,514,Medium
5,6,0,39,766,4,493,Low
5,6,1,33,816,3,1233,High
22,3,3,19,1644,1,1219,High
15,1,0,25,524,2,1217,High
3,6,2,29,1955,1,837,Medium
10,2,3,22,659,4,466,Low
23,6,3,33,1095,2,287,Low
22,5,2,37,1637,3,654,Medium
8,5,3,22,1399,3,1371,High
22,6,1,33,1001,3,956,Medium
2,2,2,32,1689,0,630,Medium
18,5,3,24,1512,2,1110,High
7,4,2,21,1202,2,441,Low
4,6,2,23,1698,0,901,Medium
3,4,2,15,500,2,1101,High
23,6,0,33,1240,0,940,Medium
5,0,3,19,1609,1,265,Low
1,0,0,33,819,4,1171,High
19,0,3,15,1924,3,577,Medium
10,5,1,29,881,0,587,Medium
3,4,1,30,1841,0,980,Medium
14,4,1,37,1773,0,408,Low
5,4,3,21,1397,1,215,Low
21,2,2,26,1216,0,1185,High
16,4,2,22,1779,4,1443,High
23,2,0,19,806,4,566,Medium
5,0,0,24,1667,3,979,Medium
18,0,1,35,890,1,1452,High
1,5,0,19,1692,4,639,Medium
14,6,3,31,1489,2,889,Medium
10,0,3,19,797,2,1259,High
7,6,0,36,732,2,1046,High
18,6,0,29,770,0,621,Medium
12,5,0,27,1583,0,1412,High
11,1,0,15,1819,2,1401,High
4,1,1,25,1990,3,807,Medium
5,3,1,37,1758,3,219,Low
21,5,0,15,1176,0,875,Medium
3,3,3,25,1205,2,581,Medium
18,3,1,32,733,3,808,Medium
19,1,3,32,1891,0,342,Low
0,5,2,35,1344,2,261,Low
19,1,3,30,1755,1,1465,High
16,3,0,27,990,2,437,Low
11,5,2,21,1002,2,1354,High
14,3,1,15,1389,4,1346,High
0,4,1,30,1091,4,1126,High
13,6,2,15,1245,1,541,Medium
5,5,3,31,1904,1,654,Medium
4,5,1,20,927,2,1421,High
10,6,0,16,1196,3,481,Low
3,3,2,31,1145,1,1085,High
12,4,0,20,1231,2,1224,High
10,2,2,28,1299,0,922,Medium
2,6,1,32,863,4,1435,High
0,1,3,20,701,3,286,Low
5,3,2,24,1381,2,864,Medium
17,6,2,38,645,0,1061,High
23,6,0,32,1335,4,260,Low
9,5,1,23,1138,0,996,Medium
4,1,0,22,1980,2,294,Low
22,1,1,24,634,1,985,Medium
9,1,0,31,1125,4,1370,High
11,6,2,37,1787,0,1469,High
1,2,0,20,563,1,1160,High
12,0,3,28,990,3,496,Low
7,3,1,36,540,2,1346,High
1,0,1,36,1819,2,893,Medium
19,6,2,20,1526,4,598,Medium
0,0,1,21,1412,0,1145,High
4,6,3,26,1474,3,1454,High
8,0,0,17,1633,4,733,Medium
16,1,2,28,1744,4,601,Medium
8,4,3,36,1893,0,329,Low
10,1,1,33,867,3,491,Low
14,1,1,37,1959,0,475,Low
23,5,3,30,1417,2,1111,High
5,5,0,21,1527,1,1125,High
22,0,0,22,743,2,254,Low
2,6,2,32,1401,2,938,Medium
16,1,1,39,665,4,1249,High
4,0,3,27,1549,2,964,Medium
11,5,0,35,1918,3,1420,High
17,4,2,23,1997,2,841,Medium
13,3,1,24,1540,3,1466,High
20,0,1,35,1227,0,923,Medium
23,4,2,37,1615,4,1413,High
10,3,2,23,982,3,1001,High
8,2,0,29,1042,2,937,Medium
1,0,3,34,1728,4,957,Medium
11,0,1,16,1430,4,766,Medium
2,2,3,39,899,3,1499,High
2,2,1,27,1730,3,539,Medium
0,0,1,16,1118,1,352,Low
7,2,3,33,1669,1,1203,High
21,1,2,16,1378,4,626,Medium
7,3,0,17,600,1,1202,High
10,3,1,20,1379,2,403,Low
8,3,2,17,1329,0,1335,High
4,1,1,24,1764,4,524,Medium
13,6,0,38,1258,0,1481,High
2,2,1,20,662,1,1149,High
20,4,0,37,1696,3,1150,High
4,2,0,30,1001,4,1138,High
4,0,1,31,1046,1,1156,High
18,5,1,33,1807,2,1093,High
13,3,0,17,1882,4,634,Medium
3,2,2,32,880,4,570,Medium
12,4,3,21,1369,3,1132,High
9,0,0,23,1404,4,448,Low
17,1,1,34,1686,3,1090,High
7,6,1,26,1501,1,380,Low
7,1,2,19,1108,2,902,Medium
6,4,3,17,806,2,1198,High
7,0,0,25,1862,4,277,Low
13,3,0,39,554,4,1118,High
18,2,3,18,1482,1,1084,High
5,0,0,19,832,3,535,Medium
0,6,3,15,626,2,249,Low
22,1,1,32,1204,3,284,Low
14,6,3,26,742,1,894,Medium
0,6,0,27,1099,2,203,Low
16,4,3,23,1932,2,1192,High
0,4,2,16,1002,0,516,Medium
14,2,1,19,1103,1,1334,High
22,4,1,27,802,1,962,Medium
1,4,3,30,1987,0,1356,High
13,0,0,30,734,3,811,Medium
20,3,2,38,1561,0,1204,High
7,2,1,17,638,1,1113,High
7,0,1,36,694,3,998,Medium
18,3,0,18,1146,2,318,Low
6,6,0,25,500,0,549,Medium
18,0,2,37,1060,3,1116,High
5,5,3,28,1619,3,886,Medium
5,0,0,17,1212,3,741,Medium
2,4,3,30,912,0,1278,High
6,3,2,36,1037,2,560,Medium
18,2,3,29,928,3,907,Medium
7,2,1,24,734,0,884,Medium
9,3,3,23,848,1,529,Medium
19,4,2,25,895,0,418,Low
14,1,2,30,1874,0,407,Low
14,0,2,24,915,0,1044,High
0,4,3,31,1415,3,284,Low
19,5,1,33,1574,0,884,Medium
6,6,0,16,580,1,444,Low
3,3,1,38,535,3,1071,High
5,0,3,37,1590,1,1222,High
0,2,3,16,1140,4,1435,High
4,6,0,20,1381,0,795,Medium
22,1,3,33,1256,3,884,Medium
0,5,2,22,1122,3,1406,High
3,2,2,17,967,0,1356,High
21,3,2,28,1665,2,1213,High
1,0,2,39,855,2,1213,High
9,3,2,30,1208,1,549,Medium
4,6,3,15,1994,0,481,Low
9,0,0,35,1519,0,492,Low
0,4,0,17,1401,4,1492,High
21,1,2,36,1172,2,1420,High
5,4,3,32,938,2,1183,High
12,4,1,23,1030,0,219,Low
14,3,1,20,626,1,958,Medium
3,6,3,37,704,0,604,Medium
12,1,2,35,528,1,1338,High
23,0,0,39,944,2,900,Medium
19,0,3,15,1465,4,1179,High
23,5,1,35,963,3,225,Low
14,2,1,24,1803,2,765,Medium
7,5,1,20,650,1,594,Medium
4,5,2,37,739,0,1200,High
14,0,1,26,765,2,722,Medium
3,3,3,18,1628,4,1061,High
11,4,3,27,1956,1,1306,High
12,6,1,31,1412,0,1001,High
1,4,3,22,996,3,749,Medium
18,4,1,34,1963,1,286,Low
18,1,1,17,1184,0,1032,High
3,0,0,26,657,3,586,Medium
3,6,2,21,671,0,1162,High
10,3,2,26,993,3,867,Medium
4,1,0,16,1469,3,485,Low
19,2,0,38,1834,3,897,Medium
10,3,2,28,1926,0,1164,High
9,5,1,36,1175,3,568,Medium
7,3,1,37,1158,1,854,Medium
5,3,2,19,1402,4,853,Medium
5,4,1,23,1165,4,896,Medium
7,3,0,35,1986,3,1223,High
22,5,1,25,866,4,1114,High
14,5,1,19,1049,4,487,Low
13,0,3,17,1142,3,294,Low
10,3,3,31,754,3,868,Medium
11,4,3,16,707,1,240,Low
12,3,1,38,949,2,530,Medium
7,2,2,15,594,0,1378,High
17,2,0,21,1338,3,703,Medium
0,4,1,28,977,3,474,Low
14,0,2,19,1182,4,378,Low
7,0,1,33,1261,1,336,Low
10,5,0,25,689,4,966,Medium
11,5,1,37,1210,3,1187,High
11,1,0,39,1255,3,1403,High
3,4,1,16,1946,4,1405,High
15,3,0,22,1335,3,1482,High
3,6,1,23,632,2,442,Low
4,4,0,17,554,0,1319,High
23,1,3,16,1009,0,396,Low
4,5,1,21,1169,0,725,Medium
7,4,1,19,909,2,831,Medium
9,4,2,35,1734,3,607,Medium
16,5,2,19,1816,4,1492,High
8,1,0,34,1486,1,1394,High
21,5,1,27,1233,3,890,Medium
18,0,0,35,1638,2,369,Low
13,3,3,34,758,2,358,Low
7,5,2,20,1645,0,646,Medium
8,1,0,34,798,3,1217,High
21,2,0,32,1904,0,1305,High
10,0,2,39,1060,1,1280,High
22,2,1,16,796,0,311,Low
0,6,0,39,861,1,247,Low
13,5,2,20,1088,2,575,Medium
4,0,1,23,1986,0,1027,High
20,3,3,39,1961,0,232,Low
13,5,2,17,626,4,703,Medium
3,3,0,15,696,2,826,Medium
21,4,3,15,720,4,1226,High
22,2,1,33,1494,1,241,Low
0,0,1,19,590,1,208,Low
21,3,2,27,910,2,1199,High
22,1,2,33,507,1,1018,High
18,3,2,26,1043,2,856,Medium
7,1,1,30,967,1,1365,High
14,5,3,39,819,3,989,Medium
20,0,1,39,1917,0,1250,High
14,3,0,33,768,3,1266,High
8,6,1,17,1714,2,1354,High
20,3,0,26,560,2,1439,High
8,6,3,19,1961,3,797,Medium
9,0,2,16,1787,0,1135,High
19,3,2,36,1296,0,1469,High
20,1,1,21,1618,4,1211,High
8,3,2,27,1052,1,220,Low
2,2,3,39,1425,4,1198,High
19,5,2,29,1993,0,656,Medium
10,4,1,36,1160,3,1213,High
5,1,3,17,1215,1,464,Low
1,2,0,35,1278,3,383,Low
6,6,1,34,693,4,426,Low
17,5,0,19,981,2,1469,High
1,0,3,38,1859,3,1296,High
16,1,1,22,1958,4,1373,High
10,4,1,36,1719,4,1292,High
11,5,3,15,1354,4,1168,High
18,6,2,22,1772,2,1004,High
21,4,1,38,997,2,1453,High
23,0,1,32,711,2,922,Medium
6,0,0,34,1164,1,1295,High
19,6,2,30,1169,2,1201,High
5,1,0,32,1989,2,1074,High
20,6,0,34,720,2,283,Low
23,3,2,26,772,3,939,Medium
0,0,2,27,1677,2,422,Low
16,5,3,27,1772,1,992,Medium
10,3,2,24,778,4,932,Medium
21,2,1,21,1963,3,1439,High
17,4,2,39,1315,0,1454,High
20,3,3,28,775,2,604,Medium
16,4,3,38,1504,4,1392,High
6,6,3,30,1013,4,528,Medium
16,3,2,29,1611,3,625,Medium
19,6,2,26,1422,0,969,Medium
8,2,0,23,1141,1,1419,High
16,0,0,22,1004,4,807,Medium
19,2,1,32,1089,4,725,Medium
21,0,0,37,1271,4,824,Medium
21,6,1,32,1764,4,276,Low
7,0,3,27,1239,3,1119,High
16,4,0,32,1174,0,1145,High
6,5,2,29,1759,4,665,Medium
0,2,0,18,1513,1,1383,High
12,3,1,31,627,1,691,Medium
22,2,0,19,1002,2,512,Medium
18,4,3,36,1723,4,1384,High
23,0,2,30,1401,4,507,Medium
18,4,1,23,1042,4,1369,High
16,1,2,24,991,4,890,Medium
12,1,2,38,1544,4,288,Low
15,3,1,32,1757,1,934,Medium
7,4,2,31,1213,0,977,Medium
18,6,2,32,1290,0,950,Medium
17,3,0,21,915,2,570,Medium
0,6,2,18,647,1,650,Medium
13,3,2,19,1469,4,366,Low
18,1,2,37,528,0,591,Medium
14,3,2,30,1884,3,935,Medium
17,1,1,17,807,3,690,Medium
1,0,3,32,661,3,1124,High
21,6,0,37,1368,4,1373,High
16,4,2,35,1351,4,1266,High
17,3,2,28,560,2,1144,High
5,1,1,29,624,2,228,Low
18,2,3,31,1979,2,1254,High
3,6,2,15,1594,3,892,Medium
0,3,1,39,1337,4,327,Low
7,5,0,35,965,3,966,Medium
22,0,0,31,742,2,640,Medium
6,0,2,37,1744,4,1068,High
2,2,2,39,972,1,723,Medium
9,1,3,25,1458,0,959,Medium
9,3,3,31,1032,0,309,Low
18,6,2,28,993,2,1468,High
13,1,1,34,1398,3,362,Low
1,0,3,33,581,1,759,Medium
0,1,2,35,1355,4,598,Medium
22,0,3,21,1378,3,782,Medium
22,1,2,38,1422,2,598,Medium
17,2,0,27,511,3,438,Low
6,4,2,32,1786,2,1255,High
7,2,0,37,948,0,1346,High
0,2,3,28,1715,0,309,Low
22,4,2,15,1261,3,1494,High
2,4,3,21,1637,1,499,Low
23,3,0,22,525,4,1201,High
22,6,2,32,1007,2,963,Medium
7,6,3,23,561,4,448,Low
21,3,0,15,728,0,720,Medium
14,2,3,36,1106,1,233,Low
4,2,1,31,1558,1,427,Low
2,0,0,33,1979,4,784,Medium
18,0,0,20,1390,0,1157,High
0,6,0,17,1260,4,1012,High
14,3,2,38,1094,3,923,Medium
7,5,2,19,1548,1,783,Medium
1,5,2,16,1555,1,769,Medium
2,3,1,34,1535,3,419,Low
23,0,1,39,1842,0,986,Medium
13,6,0,18,500,1,727,Medium
23,6,1,24,1958,2,274,Low
13,0,3,24,1659,2,335,Low
10,5,0,38,1719,0,273,Low
15,1,0,35,632,3,453,Low
3,1,3,25,585,4,1241,High
19,0,0,30,1999,0,1221,High
4,1,1,31,1847,4,1266,High
21,4,2,30,1703,0,249,Low
20,3,3,21,1015,2,714,Medium
13,3,1,30,674,3,943,Medium
22,0,3,17,1262,2,930,Medium
15,2,3,30,1544,3,770,Medium
17,5,0,22,1496,4,775,Medium
6,0,0,26,1628,0,1365,High
9,1,1,17,1077,1,1102,High
6,5,3,31,1966,1,401,Low
0,2,0,35,548,3,406,Low
22,1,0,32,1027,3,614,Medium
20,6,3,25,644,2,420,Low
18,4,1,18,1863,1,957,Medium
15,1,1,30,1261,2,1304,High
18,4,3,31,1877,4,962,Medium
3,5,1,23,1598,1,762,Medium
17,4,0,20,1428,4,568,Medium
1,5,3,38,1293,0,1095,High
0,5,0,34,818,2,403,Low
14,5,2,39,1610,3,1248,High
4,5,2,16,1197,1,1156,High
19,5,1,23,1346,2,268,Low
10,1,2,35,1282,3,715,Medium
9,5,0,20,541,0,439,Low
1,1,2,17,1616,1,560,Medium
2,5,0,34,1028,4,1254,High
22,4,1,20,1788,0,906,Medium
22,6,1,21,791,3,889,Medium
11,5,0,15,1468,1,856,Medium
19,2,2,37,1987,1,543,Medium
4,5,1,15,596,0,735,Medium
4,5,3,19,1618,1,554,Medium
5,4,1,20,1849,3,1127,High
8,3,2,27,573,0,1182,High
1,4,3,16,1859,4,304,Low
20,2,2,29,1591,0,1161,High
11,3,0,29,1257,0,726,Medium
2,0,3,27,1600,4,703,Medium
19,0,2,39,707,3,1308,High
21,2,3,28,1744,2,1130,High
11,4,2,36,1785,2,908,Medium
23,1,3,21,909,4,434,Low
16,2,2,28,830,3,1486,High
9,6,0,38,843,1,1229,High
23,3,3,24,1488,4,693,Medium
13,3,3,31,1270,2,1077,High
22,5,3,28,573,3,1423,High
16,0,3,22,753,0,1166,High
17,3,0,18,1458,3,1165,High
18,2,3,30,1319,3,1163,High
16,3,1,38,1485,2,1096,High
13,2,0,27,831,2,416,Low
8,1,1,36,1921,1,822,Medium
7,5,3,39,1868,1,552,Medium
1,0,2,34,1246,4,891,Medium
12,3,1,32,1335,0,874,Medium
6,2,3,28,954,1,830,Medium
8,4,1,32,1638,2,524,Medium
21,0,3,19,812,3,1100,High
21,1,3,23,1517,4,1451,High
10,2,3,17,727,1,1368,High
13,6,2,22,1333,3,507,Medium
3,6,1,34,1357,3,853,Medium
12,5,0,36,1768,1,484,Low
1,5,0,24,1317,0,591,Medium
22,1,0,36,1517,0,559,Medium
4,1,0,33,1027,4,968,Medium
10,5,3,35,1449,0,996,Medium
5,3,1,17,926,4,1131,High
17,3,1,25,541,2,364,Low
20,2,2,25,964,1,932,Medium
9,4,1,31,777,3,780,Medium
3,2,1,30,1335,4,1020,High
8,4,1,21,518,0,1447,High
5,1,2,18,565,4,323,Low
1,0,0,37,666,4,543,Medium
16,2,1,33,1519,0,723,Medium
4,2,2,26,902,0,1275,High
5,4,2,29,908,1,328,Low
11,1,3,25,611,3,1358,High
22,1,2,19,1797,1,856,Medium
20,6,0,19,1930,1,1350,High
9,4,1,29,1896,0,937,Medium
21,1,2,32,1096,0,1138,High
20,5,0,25,1150,3,270,Low
5,3,2,26,1562,4,472,Low
7,6,2,16,604,1,1410,High
1,5,2,34,823,3,1226,High
11,0,2,29,1491,1,221,Low
12,2,2,34,1937,4,365,Low
20,6,0,18,928,1,1074,High
6,0,1,36,1134,2,697,Medium
9,2,1,32,1229,3,633,Medium
12,3,1,20,1388,0,957,Medium
16,1,1,37,1584,1,433,Low
20,5,0,33,1830,3,1036,High
13,4,3,25,1877,3,862,Medium
1,5,3,38,892,1,924,Medium
21,3,0,16,703,0,575,Medium
10,0,0,22,757,0,929,Medium
0,4,2,25,985,1,1469,High
18,1,2,19,945,3,502,Medium
20,3,2,32,1703,0,604,Medium
3,4,1,37,1523,1,907,Medium
18,3,2,32,841,1,1116,High
20,3,3,28,632,1,220,Low
10,1,1,36,942,3,456,Low
7,6,2,24,752,0,598,Medium
10,2,1,17,764,3,250,Low
3,4,3,23,592,2,646,Medium
16,1,2,17,1934,0,1493,High
6,3,3,25,637,3,1026,High
7,1,3,26,1731,0,794,Medium
2,6,3,26,1501,2,1017,High
21,2,2,17,806,4,835,Medium
1,5,0,35,765,1,1485,High
22,4,2,21,1145,3,1272,High
14,2,3,28,817,2,1341,High
23,0,2,38,1636,2,974,Medium
21,4,3,25,1400,0,1172,High
21,2,0,21,1901,0,596,Medium
4,3,1,39,953,1,882,Medium
23,4,0,35,690,0,1250,High
0,4,0,24,1963,3,910,Medium
3,1,1,25,1710,3,1320,High
14,3,2,29,1330,3,728,Medium
19,0,1,33,1890,4,884,Medium
18,5,2,30,1612,3,812,Medium
2,6,2,36,686,0,385,Low
19,2,3,35,1318,0,895,Medium
10,1,3,34,1520,3,414,Low
16,2,1,26,631,2,1474,High
12,0,0,32,1371,2,415,Low
10,0,1,37,1134,2,228,Low
1,4,2,27,1899,1,301,Low
8,6,3,19,1190,4,322,Low
1,0,1,18,1191,3,253,Low
20,2,1,28,1622,1,1340,High
8,3,3,22,1557,2,815,Medium
8,3,3,23,1081,3,756,Medium
7,4,3,39,670,1,313,Low
16,5,2,33,1889,0,1054,High
0,2,3,17,1283,2,875,Medium
10,2,0,19,1582,1,1176,High
7,0,1,35,680,0,900,Medium
9,6,3,32,518,2,1418,High
6,2,3,15,1749,4,491,Low
2,1,2,22,1996,2,460,Low
2,5,2,33,1618,4,1430,High
17,0,1,31,1380,4,763,Medium
4,1,0,31,1820,4,248,Low
11,4,1,25,674,3,1229,High
11,3,3,16,1745,3,578,Medium
18,4,0,20,553,4,423,Low
5,3,0,36,1194,0,1246,High
1,4,0,28,1362,4,1207,High
11,2,0,17,1926,1,856,Medium
18,1,1,26,1841,4,309,Low
4,3,2,18,848,3,923,Medium
11,0,2,26,942,3,752,Medium
16,1,3,27,1332,1,1395,High
16,0,2,16,1079,1,1205,High
9,1,2,16,781,2,897,Medium
22,1,2,29,859,0,925,Medium
16,4,2,37,1414,0,505,Medium
14,3,3,31,1322,0,1158,High
11,3,1,21,1391,3,1153,High
15,6,0,28,1452,0,1374,High
23,1,2,26,1140,2,820,Medium
18,2,1,31,1531,2,829,Medium
7,2,2,28,1062,0,1076,High
20,0,2,20,990,1,755,Medium
16,0,0,33,840,2,266,Low
22,4,0,38,971,1,1379,High
4,1,0,20,748,3,1034,High
21,0,2,32,734,2,405,Low
15,0,2,38,1606,1,985,Medium
5,5,2,19,1616,0,354,Low
7,1,0,38,1917,3,1297,High
17,4,3,38,1323,4,1272,High
11,0,1,20,1791,4,982,Medium
14,4,3,16,1940,0,784,Medium
8,3,2,22,1131,3,907,Medium
12,4,2,29,1028,3,378,Low
14,2,3,29,1776,3,1271,High
9,2,2,25,621,3,1295,High
15,4,1,36,1391,4,312,Low
6,2,2,36,509,1,956,Medium
16,3,1,38,1839,3,1096,High
22,1,3,15,1337,1,1020,High
20,2,3,32,1796,3,358,Low
21,2,2,26,1829,2,985,Medium
6,4,1,26,1733,2,1253,High
13,3,2,39,1252,2,1320,High
14,6,0,25,1385,3,450,Low
20,6,0,22,963,1,1315,High
6,6,0,21,1211,4,312,Low
8,6,0,37,1227,0,458,Low
18,1,2,35,1216,4,306,Low
15,4,0,16,1939,3,774,Medium
7,4,1,25,1739,2,1190,High
17,5,3,36,579,2,1422,High
22,3,3,24,979,1,626,Medium
17,6,0,17,1401,3,1058,High
19,1,0,34,1390,4,1117,High
6,3,0,24,517,3,1343,High
2,6,2,32,1688,3,826,Medium
17,1,3,28,701,2,674,Medium
9,3,0,32,1240,4,751,Medium
6,4,1,38,1869,0,543,Medium
16,4,0,22,1889,2,827,Medium
13,0,3,24,1971,4,335,Low
23,2,0,36,818,1,476,Low
2,6,3,27,716,2,230,Low
11,5,0,35,1557,1,446,Low
12,3,1,22,765,2,610,Medium
1,5,0,18,1223,3,226,Low
2,0,1,18,1274,4,272,Low
4,2,1,19,1603,1,1320,High
10,3,0,15,912,2,872,Medium
7,1,1,31,1775,1,675,Medium
22,6,2,16,1535,2,486,Low
22,2,0,22,900,2,411,Low
11,4,0,21,1223,0,1299,High
6,0,1,29,781,0,600,Medium
14,2,1,39,1635,0,854,Medium
23,6,0,19,1222,1,1257,High
16,2,2,16,1901,3,697,Medium
3,6,1,21,1250,2,1047,High
21,4,1,22,767,4,297,Low
12,3,3,21,797,0,565,Medium
17,1,2,21,1840,1,662,Medium
0,4,2,28,1069,1,227,Low
15,1,0,35,1008,1,912,Medium
12,3,2,32,1045,4,472,Low
9,2,0,20,1274,4,1025,High
11,1,3,18,864,0,1350,High
1,0,2,24,1046,4,401,Low
22,0,1,32,770,0,649,Medium
2,6,3,26,1997,4,1311,High
